"tipo_bien","numero_oficio","juzgado","tipo_delito","medida","fecha_recepcion","fecha_medida","localizacion","provincia","estupefaciente_sustancia","estupefaciente_cantidad","arma_tipo","arma_numero_serie","arma_marca","arma_modelo","arma_calibre","automotor_tipo","automotor_dominio","automotor_marca","automotor_modelo","automotor_color","automotor_anio","aeronave_numero_serie","aeronave_matricula","aeronave_marca","aeronave_modelo","buque_pais","buque_nombre","buque_matricula","dinero_moneda_descripcion","dinero_cantidad","titulo_tipo","titulo_nombre_emisor","titulo_cantidad","titulo_fecha_vencimiento","titulo_categoria","titulo_bolsa_cotiza","titulo_moneda","otro_clasificacion","otro_detalle","provincia_id"
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","IHF984","Fiat","UNO FIRE 1242",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","IUZ916","BMW","X5 M",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","IVM593","IVECO","450E32T",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","IZF852","Honda",,,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","JET 878","Audi","A4 1.8 TFSI",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","JJO695","VULCANO",,,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","JRV250","Mercedes Benz","SLK 350 ROADSTER",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","JTY299","Volkswagen","GOL TREND 1.6",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","JYX808","PORSCHE ","CAYENNE TURBO",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","KAA714","Fiat","SEDAN 5 PUERTAS UNO FIRE",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","KTX 712","Chevrolet","CELTA 1.4 LT",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","KTX 722","Chevrolet","CELTA 1.4 LT",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","KYY834","Chevrolet","PICK UP CABINA SIMPLE",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","LJP682","Peugeot","PARTNER",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","LJV 115","Chevrolet","CELTA 1.4 LT",,,,,,,,,,,,,,,,,,,,,""
